State,AgeBin,IncomeBin,Count
ACT,65-84,Negative/Nil to $649,23507
ACT,65-84,"$650-$1,499",18367
ACT,65-84,"$1,500-$2,999",8285
ACT,65-84,"$3,000 and above",1977
ACT,85 years and over,Negative/Nil to $649,3426
ACT,85 years and over,"$650-$1,499",2026
ACT,85 years and over,"$1,500-$2,999",544
ACT,85 years and over,"$3,000 and above",141
NT,15-24,Negative/Nil to $649,17450
NT,15-24,"$650-$1,499",7260
NT,15-24,"$1,500-$2,999",1254
NT,15-24,"$3,000 and above",50
NT,25-44,Negative/Nil to $649,20401
NT,25-44,"$650-$1,499",25158
NT,25-44,"$1,500-$2,999",20742
NT,25-44,"$3,000 and above",2920
NT,45-64,Negative/Nil to $649,14671
NT,45-64,"$650-$1,499",13944
NT,45-64,"$1,500-$2,999",15699
NT,45-64,"$3,000 and above",3806
NT,65-84,Negative/Nil to $649,10627
NT,65-84,"$650-$1,499",4385
NT,65-84,"$1,500-$2,999",1864
NT,65-84,"$3,000 and above",509
NT,85 years and over,Negative/Nil to $649,713
NT,85 years and over,"$650-$1,499",174
NT,85 years and over,"$1,500-$2,999",28
NT,85 years and over,"$3,000 and above",8
AUS,15-24,Negative/Nil to $649,2005841
AUS,15-24,"$650-$1,499",730313
AUS,15-24,"$1,500-$2,999",85592
AUS,15-24,"$3,000 and above",6829
AUS,25-44,Negative/Nil to $649,1593068
AUS,25-44,"$650-$1,499",2709749
AUS,25-44,"$1,500-$2,999",1891912
AUS,25-44,"$3,000 and above",419849
AUS,45-64,Negative/Nil to $649,1837345
AUS,45-64,"$650-$1,499",2041486
AUS,45-64,"$1,500-$2,999",1482355
AUS,45-64,"$3,000 and above",514185
AUS,65-84,Negative/Nil to $649,2384011
AUS,65-84,"$650-$1,499",836345
AUS,65-84,"$1,500-$2,999",237109
AUS,65-84,"$3,000 and above",81302
AUS,85 years and over,Negative/Nil to $649,345936
AUS,85 years and over,"$650-$1,499",70407
AUS,85 years and over,"$1,500-$2,999",14452
AUS,85 years and over,"$3,000 and above",6025
OT,15-24,Negative/Nil to $649,122
OT,15-24,"$650-$1,499",66
OT,15-24,"$1,500-$2,999",0
OT,15-24,"$3,000 and above",0
OT,25-44,Negative/Nil to $649,108
OT,25-44,"$650-$1,499",203
OT,25-44,"$1,500-$2,999",78
OT,25-44,"$3,000 and above",8
OT,45-64,Negative/Nil to $649,209
OT,45-64,"$650-$1,499",334
OT,45-64,"$1,500-$2,999",109
OT,45-64,"$3,000 and above",16
OT,65-84,Negative/Nil to $649,320
OT,65-84,"$650-$1,499",111
OT,65-84,"$1,500-$2,999",19
OT,65-84,"$3,000 and above",6
OT,85 years and over,Negative/Nil to $649,34
OT,85 years and over,"$650-$1,499",7
OT,85 years and over,"$1,500-$2,999",0
OT,85 years and over,"$3,000 and above",0
